Name,Sector,Full Time Employees,State,Enterprise Value,Profit Margins,Market Cap,Ask Size,Percentage Increase/Decrease
Amgen Inc.,Health Care,23400,CA,162874163200,0.32025,139173347328,1200,-7.93354467259037
"Analog Devices, Inc.",Information Technology,16400,MA,44305219584,0.21063,38755155968,1100,-17.4469060226401
ANSYS,Information Technology,4100,PA,22265403392,0.29771,22941538304,800,-10.1117571212381
Aon plc,Financials,50000,N/A,50893303808,0.14835,40957505536,1000,-18.2570858832329
Apache Corporation,Energy,3163,TX,15096171520,-0.57187,4381822464,1000,-74.7600193385304
Apple Inc.,Information Technology,137000,CA,1314434711552,0.21350001,1303029612544,800,-11.7227381050725
Applied Materials Inc.,Information Technology,22300,CA,46373203968,0.18825,46374404096,1400,-22.0534736141371
Archer-Daniels-Midland Co,Consumer Staples,38000,IL,28271147008,0.02389,19109062656,800,-19.1039095444246
Arthur J. Gallagher & Co.,Financials,34015,IL,20663093248,0.09977,15255008256,900,-16.4287682979312
Assurant Inc.,Financials,13600,NY,10116050944,0.036960002,5849329664,1400,-21.4546132309395
AT&T Inc.,Telecommunication Services,244490,TX,405465497600,0.08048,205128761344,1100,-19.9553125866077
Autodesk Inc.,Information Technology,10100,CA,40322322432,0.065510005,39783788544,1300,-15.461354490992
Automatic Data Processing,Information Technology,58000,NJ,63425499136,0.17146,62128132096,800,-21.6827721546436
AutoZone Inc,Consumer Discretionary,55680,TN,32069214208,0.13419,24108083200,800,-21.5845133795523
Avery Dennison Corp,Materials,30000,CA,10923280384,0.0829,8813205504,800,-19.4246545449864
Ball Corp,Materials,18300,CO,27913732096,0.04933,21410590720,800,-6.96805128276223
Bank of America Corp,Financials,209000,NC,30220759040,0.29571,193899872256,3000,-32.8124942460264
Baxter International Inc.,Health Care,50000,IL,47901880320,0.08598,44736860160,800,-4.07472368149856
Becton Dickinson,Health Care,65000,NJ,90250010624,0.052550003,73301655552,800,-9.74896031355026
Best Buy Co. Inc.,Consumer Discretionary,125000,MN,20931598336,0.03531,19052646400,800,-26.5416579880149
Biogen Inc.,Health Care,7400,MA,52557656064,0.40761003,50062512128,1100,2.43759755718074
BlackRock,Financials,16200,NY,74619731968,0.28377,75037696000,1000,-15.2075794602064
Block H&R,Financials,3100,MO,5867118080,0.12963,2991061504,1200,-36.2651432941864
Boeing Company,Industrials,161100,IL,94471397376,-0.04838,68768645120,800,-55.821567542601
Booking Holdings Inc,Consumer Discretionary,26400,CT,59148320768,0.32291,56439754752,1000,-28.2572764177042
BorgWarner,Consumer Discretionary,29000,MI,6915802624,0.07337,5802181120,800,-36.4201545932401
Boston Properties,Real Estate,760,MA,27980300288,0.31178,12934633472,1800,-30.1530115911903
Boston Scientific,Health Care,36000,MA,61527949312,0.3975,50109616128,800,-24.2457788055245
Brighthouse Financial Inc,Financials,1330,NC,5204286976,-0.11350001,2371987200,1400,-41.4355168823719
Broadcom,Information Technology,19000,CA,144857726976,0.11639,105616785408,800,-22.6767787386591
Cabot Oil & Gas,Energy,547,TX,9179894784,0.27416,7812089856,1000,14.1556917495538
Cadence Design Systems,Information Technology,8100,CA,21992749056,0.41741002,22611355648,800,-5.47602973632919
Campbell Soup,Consumer Staples,19000,NJ,21383766016,0.17950001,15256226816,800,0.298391532035036
Capital One Financial,Financials,52100,VA,63416700928,0.14867,26631084032,1100,-45.941077352744
Carmax Inc,Consumer Discretionary,27050,VA,27738421248,0.04147,11863098368,1000,-37.5094732587526
Caterpillar Inc.,Industrials,102300,IL,90435985408,0.10406,58275201024,1100,-18.806463989854
Cboe Global Markets,Financials,823,IL,11652929536,0.1552,10695505920,1100,-22.9083651632011
Centene Corporation,Health Care,56600,MO,47303495680,0.01082,37932949504,800,-3.09330722840271
CenterPoint Energy,Utilities,14262,TX,24083765248,0.0643,8031787520,1100,-39.2212269250207
Cerner,Health Care,27400,MO,21958307840,0.089320004,20357904384,800,-12.7393031074545
CF Industries Holdings Inc,Materials,3000,IL,12596634624,0.10741,5616446976,900,-35.9749760396909
Charles Schwab Corporation,Financials,20200,CA,-49383698432,0.33301997,44504723456,900,-24.8804059019105
Charter Communications,Consumer Discretionary,95100,CT,205006438400,0.03912,104046575616,800,-9.96497280756992
Chipotle Mexican Grill,Consumer Discretionary,85000,CA,26333202432,0.05949,24182351872,1800,-18.8138370579788
Church & Dwight,Consumer Staples,4800,NJ,19957102592,0.14961,17667411968,2200,-5.69218393863419
CIGNA Corp.,Health Care,73700,CT,99824033792,0.031889997,67743813632,1100,-15.7113028134188
