Name,Sector,Full Time Employees,State,Enterprise Value,Profit Margins,Market Cap,Ask Size,Percentage Increase/Decrease
Synchrony Financial,Financials,16500,CT,14784741376,0.36525002,10098148352,800,"(-70.0, -45.0]"
Synopsys Inc.,Information Technology,13896,CA,23335059456,0.14310001,23560101888,2200,"(-20.0, 5.0]"
Sysco Corp.,Consumer Staples,69000,TX,34925834240,0.023020001000000002,26381447168,800,"(-45.0, -20.0]"
T. Rowe Price Group,Financials,7471,MD,24536485888,0.34098998,24620800000,800,"(-20.0, 5.0]"
Take-Two Interactive,Information Technology,4894,NY,11640852480,0.11807000000000001,14487648256,800,"(-20.0, 5.0]"
TechnipFMC,Energy,37000,,3757034496,-0.41772997,3454721280,1100,"(-70.0, -45.0]"
Texas Instruments,Information Technology,29768,TX,104176361472,0.35231999999999997,103176036352,800,"(-20.0, 5.0]"
Textron Inc.,Industrials,35000,RI,8802054144,0.05159,5702723072,1100,"(-45.0, -20.0]"
The Clorox Company,Consumer Staples,8800,CA,28411013120,0.13668,25160353792,900,"(5.0, 30.0]"
The Hershey Company,Consumer Staples,14520,PA,31523641344,0.13944,27401156608,800,"(-20.0, 5.0]"
The Mosaic Company,Materials,12600,FL,8933244928,-0.119849995,4093416192,2900,"(-45.0, -20.0]"
The Walt Disney Company,Consumer Discretionary,223000,CA,241276649472,0.13808,182216507392,900,"(-45.0, -20.0]"
Thermo Fisher Scientific,Health Care,75000,MA,149847949312,0.14306,132367826944,1100,"(-20.0, 5.0]"
Tiffany & Co.,Consumer Discretionary,14100,NY,16805347328,0.12230999999999999,15518746624,900,"(-20.0, 5.0]"
TJX Companies Inc.,Consumer Discretionary,286000,MA,65940844544,0.078439996,57112535040,1300,"(-45.0, -20.0]"
Tractor Supply Company,Consumer Discretionary,33000,TN,15195598848,0.06706000000000001,12188426240,1200,"(-20.0, 5.0]"
TransDigm Group,Industrials,18300,OH,31903076352,0.18672001,17151609856,800,"(-45.0, -20.0]"
TripAdvisor,Consumer Discretionary,4194,MA,2346554368,0.08076999,2426339328,800,"(-45.0, -20.0]"
Twenty-First Century Fox Class A,Consumer Discretionary,7700,NY,20192677888,0.15217999999999998,14988093440,1800,"(-45.0, -20.0]"
Twenty-First Century Fox Class B,Consumer Discretionary,7700,NY,20040970240,0.15217999999999998,15023100928,1100,"(-45.0, -20.0]"
Tyson Foods,Consumer Staples,141000,AR,33129605120,0.045219999999999996,19957448704,900,"(-45.0, -20.0]"
UDR Inc,Real Estate,1330,CO,16960275456,0.15946001,10630459392,800,"(-45.0, -20.0]"
Ulta Beauty,Consumer Discretionary,18000,IL,13723313152,0.095419995,12290674688,1200,"(-45.0, -20.0]"
Under Armour Class A,Consumer Discretionary,7000,MD,4749282304,0.017490000000000002,3946682112,2900,"(-70.0, -45.0]"
Under Armour Class C,Consumer Discretionary,7000,MD,4333601792,0.017490000000000002,3918763776,1800,"(-70.0, -45.0]"
Union Pacific,Industrials,33872,NE,134465470464,0.27848,104703041536,800,"(-45.0, -20.0]"
United Parcel Service,Industrials,260280,GA,94559313920,0.05728,79970074624,800,"(-20.0, 5.0]"
"United Rentals, Inc.",Industrials,19100,CT,19995275264,0.12523,7983805440,800,"(-45.0, -20.0]"
"Universal Health Services, Inc.",Health Care,90000,PA,12953271296,0.063379996,8184153600,800,"(-45.0, -20.0]"
Unum Group,Financials,10300,TN,5149774848,0.08251,2887214848,2200,"(-70.0, -45.0]"
V.F. Corp.,Consumer Discretionary,75000,CO,24922904576,0.09026,22112215040,1100,"(-45.0, -20.0]"
Verisign Inc.,Information Technology,872,VA,24980619264,0.6333,24542793728,1000,"(-20.0, 5.0]"
Verisk Analytics,Industrials,9060,NJ,28721131520,0.18234,25209300992,800,"(-20.0, 5.0]"
Vertex Pharmaceuticals Inc,Health Care,3000,MA,66951380992,0.31350002,70020341760,1100,"(-20.0, 5.0]"
Visa Inc.,Information Technology,19500,CA,391753531392,0.52259,392706359296,1000,"(-20.0, 5.0]"
Vulcan Materials,Materials,9173,AL,17234690048,0.12531,13296591872,1400,"(-45.0, -20.0]"
Wal-Mart Stores,Consumer Staples,2200000,AR,423816953856,0.028399998,349395222528,1100,"(-20.0, 5.0]"
Walgreens Boots Alliance,Consumer Staples,232000,IL,78610792448,0.025190001,36141461504,900,"(-20.0, 5.0]"
Waters Corporation,Health Care,7467,MA,12854291456,0.22766999999999998,11454966784,1400,"(-20.0, 5.0]"
Wec Energy Group Inc,Utilities,7500,WI,41097924608,0.16079001,26793050112,800,"(-20.0, 5.0]"
Western Digital,Information Technology,61800,CA,18746165248,-0.037000000000000005,12145607680,1800,"(-45.0, -20.0]"
Western Union Co,Information Technology,11500,CO,9995350016,0.20639000000000002,7999658496,2200,"(-45.0, -20.0]"
Weyerhaeuser Corp.,Real Estate,9400,WA,19073529856,0.05467999999999999,13603335168,900,"(-45.0, -20.0]"
Whirlpool Corp.,Consumer Discretionary,77000,MI,12648936448,0.04328,6659532800,1400,"(-45.0, -20.0]"
Williams Cos.,Energy,4812,OK,48063000576,0.01712,22577653760,800,"(-45.0, -20.0]"
Willis Towers Watson,Financials,45000,,30608758784,0.11552,23641079808,900,"(-20.0, 5.0]"
Wynn Resorts Ltd,Consumer Discretionary,30200,NV,16556679168,0.0186,8548538880,800,"(-70.0, -45.0]"
Xerox Corp.,Information Technology,26300,CT,5859520000,0.13926,3554277888,1000,"(-70.0, -45.0]"
Xylem Inc.,Industrials,16000,NY,13462495232,0.07011,11345503232,1000,"(-20.0, 5.0]"
Zimmer Biomet Holdings,Health Care,19900,IN,32247658496,0.14177,23950309376,1000,"(-45.0, -20.0]"
Zions Bancorp,Financials,9879,UT,8646052864,0.24358000000000002,4895897600,2200,"(-45.0, -20.0]"
Zoetis,Health Care,10600,NJ,67072827392,0.23961999999999997,59691442176,1000,"(-20.0, 5.0]"
